"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,2900,2900,2650,2695,2791,2695,2695,2780,2785,2750,2800,2800,2875,2950,2990,2995,3000,3100,3100,3100,3095,3000,3100,3000,3000,3195,3200,3150,3195,3200,3200,3100,3100,3050,3097,3100,3107,3197,3200,2695,2610,2650,2625,2600,2595,2575,2600,2600,2650,2700,2650,2600,2600,2600,2571,2500,2500,2500,2500,2500,2595,2600,2600,2600,2600,2675,2700,2645,2500,2500,2500,2532,2600,2600,2650,2650,2695,2600,2550,2500,2500,2500,2500,2500,2595,2650,2679,2650,2650,2612,2550,2500
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,1850,1850,2000,2100,2250,2350,2525,2399.5,2372.5,2200,2200,2100,2100,2000,2095,2200,2200,2195,2000,1950,1895,1895,1850,1895,1950,1999,1995,1995,1970,1950,1995,2000,1995,1925,1879,1937,1980,2005,2007,2100,2098,2073,2000,2100,2100,1950,2198,2176,2100,2128,2195,2250,2295,2348,2395,2395,2400,2425,2485,2495,2500,2495,2500,2535,2595,2595,2600,2600,2595,2566,2509,2650,2681,2695,2695,2650,2700,2600,2650,2795,2636.5,2638,2599.5,2600,2791,2809,2796.5,2800,2800,2840,2841,2827,2800,2795,2795,2800,2800,2806.5,2850,2800,2895,2950,2995,2950,2995,3000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,1500,1500,1475,1597.5,1500,1500,1557,1650,1637.5,1700,1550,1600,1600,1700,1700,1800,1795,1725,1750,1741,1700,1700,1700,1650,1599,1535,1599,1700,1695,1750,1759,1833.5,1700,1795,1700,1875,1650,1700,1800,1850,1900,2000,1950,1807.5,1920,2000,1800,1695,1695,1685,1710,1785,1895,1750,1975,1951.5,1850,1650,1700,1900,1650,1750,1750,1750,1745,1750,1850,1900,2008,1875.5,1800,2000,1795,1750,1795,1795,1750,1740,1750,1700,1675,1700,1700,1700,1700,1711,1750,1745,1700,1700,1700,1700,1725,1750,1730,1775,1800,1800,1825,1850,1850,1850,1895,1850,1807
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1343,1510,1325,1275,1325,1425,1413,1427,1450,1500,1518,1440,1445,1419,1425,1450,1500,1500,1515,1543,1515,1500,1550,1715,1700,1729,1649.5,1675,1625,1595,1592,1550,1480,1512,1450,1439,1400,1480,1529.5,1502.5,1545,1550,1525,1524,1545,1558,1565,1577.5,1580,1535,1600,1600,1625,1620,1600,1594,1600,1571,1555,1550
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,850,817,819,800,845,845,845,850,835,825,850,860,880,928,931,883,861,875,890,900,896,895,903.5,870,910,900,926,926,927,925,926,939,950,950,959,979,999,990,989,999,975,993,959.5,985,975,950,950,950,950,982,975,970,975,985,987,990,994.5,995,1044.5,1065,1014,1020,1050,1039,1000,1029.5,1006,1025,1065.5,980.5,1020,977,1050,1053,1066.5,1095,1150,1127,1109,1100,1105,1099,1075,1083.5,1100,1180,1171,1150,1180,1187,1200,1210,1191,1185,1200
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,1650,1550,1597.5,1800,1900,1900,1612.5,1550,1625,1525,1350,1400,1397.5,1350,1300,1300,1300,1300,1300,1250,1200,1300,1360,1400,1450,1495,1495,1400,1395,1250,1250,1250,1210,1200,1274,1278,1339.5,1350,1397.5,1330,1300,1295,1400,1350,1375,1395,1295,1225,1214.5,1250,1350,1380,1350,1325,1300,1350,1300,1295,1275,1300,1350,1350,1390,1395,1350,1365,1350,1325,1325,1325,1395,1400,1425,1430,1500,1475,1475,1450,1450,1495,1450,1475,1400,1495,1550,1572.5,1575,1550,1545,1600,1600,1550,1550,1500,1500,1522,1595,1625,1695,1670,1700,1693.5,1655,1641,1600
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,799.5,800,825,745,750,788,799,766,795,799,800,810,795,759.5,750,740,750,799,775,775,780,780,798,805,795,798,789,788,788,795,795,795,788,787,780,788,788,749.5,770,788,788,788,799,799,802,796,800,800,810,810,845.5,850,885,880,885,850,871.5,875,895,880,885,910,975,945,940,1020,1010,1002.5,1036.5,985,971.5,960,954.5,914,932,975,1067,1177,1223.5,1133,1121,1138,1100,1095,1088,1050,1050,1068,1115,1132,1146,1137,1150,1150,1176,1143,1180,1193
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,1000,995,995,999.5,899,985,1062.5,992.5,950,895,825,895,850,850,900,900,895,895,895,875,850,800,825,800,825,800,800,800,800,800,795,800,800,825,800,800,800,819,825,803,800,825,825,825,810,819,830,850,850,850,850,875,875,865,875,875,895,895,895,875,895,900,922.5,925,925,925,925,895,900,929,959.5,930,950,975,995,950,995,975,968,985,995,995,980,1000,1013,1050,1066,1050,1050,1050,1050,1044,1040,1045,1036,1050,1095,1129,1150,1150,1165,1188,1200,1195,1200,1195
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,2175,2070,2150,1795,1847.5,1850,1835,1850,1800,1798,1800,1875,1800,1715,1750,1750,1750,1752.5,1695,1655,1745,1745,1700,1740,1700,1740,1720.5,1720,1720.5,1728,1745,1740,1785,1760,1779,1950,1895,1800,1950,1977,1902.5,1925,1950,2010.5,2050,2050,2057.5,2067.5,2132.5,2147.5,2100,2095,2100,2115,2130,2120,2150,2168.5,2245,2250,2215,2250,2220,2220,2250,2249.5,2245,2200,2180,2220,2215,2316,2200,2167,2195,2195,2211,2282,2285,2350,2395,2391,2395,2395,2311,2282,2280,2250,2295,2350,2405,2450,2460,2495,2500,2500,2505,2500
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,1196,1195,1200,1195,1372.5,1234,1101,1242,1100,1271,1350,1344,1300,1350,1350,1380,1425,1499,1430,1473.5,1457,1460,1516,1509,1418,1563,1562,1595.5,1600,1600,1570,1570,1600,1528,1578.5,1543.5,1509.5,1510,1531,1595,1600,1588,1522,1486,1549,1550,1523,1550,1576,1600,1590,1580,1609,1673,1709,1700,1652,1688.5,1665,1643,1595,1699,1699,1600,1600,1700,1700,1761,1799,1775,1802,1820,1845,1795,1752,1785,1795.5,1779,1850,1799,1810,1850,1849,1850,1885,1839,1877,1850
