"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,2250,2350,2250,2332.5,2500,2550,2499,2448,2200,2200,2400,2500,2500,2345,2300,2400,2300,2350,2425,2400,2400,2450,2495,2500,2500,2500,2500,2550,2595,2600,2600,2600,2595,2650,2605,2650,2695,2700,2630,2650,2700,2700,2649,2600,2600,2600,2600,2600,2650,2635,2300,2250,2275,2250,2250,2200,2200,2250,2295,2350,2350,2300,2221,2300,2300,2250,2200,2200,2199,2200,2200,2275,2300,2350,2313,2300,2399,2500,2400,2200,2250,2300,2300,2350,2350,2383,2379.5,2400,2400,2350,2300,2295,2295,2300,2300,2395,2400,2400,2395,2400,2400,2350,2350
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,1275,1285,1355,1300,1338,1350,1359.5,1350,1375,1350,1302.5,1290,1250,1250,1200,1275,1350,1395,1395,1420,1400,1395,1395,1450,1515,1525,1440,1450,1575,1588,1551,1550,1550,1475,1450,1495,1500,1365,1520,1495,1480,1450,1495,1582.5,1597,1650,1695,1700,1750,1725,1765,1750,1795,1795,1750,1795,1805,1800,1800,1839.5,1849,1850,1840,1991,1999,2021,2021,2015,1995,1958,1945,1995,1930,1927.5,1850,1962.5,2017,2098.5,2069.5,2072,2097,2150,2100,2112,2110,2095,2095,2069,2100,2100,1995,2113,2225,2265,2331,2350,2388,2375
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,1355,1355,1395,1225,1274,1250,1279,1299,1375,1344,1300,1325,1327,1345,1380,1395,1340,1275,1250,1325,1395,1400,1400,1465,1500,1477,1500,1500,1600,1500,1550,1582,1600,1587,1593,1569,1544.5,1588,1643,1620,1545,1509,1495,1495,1536.5,1637,1520,1674,1700,1650,1495,1600,1658,1502,1501,1516,1500,1478,1490,1646,1725,1803,1721,1678,1737,1595,1546,1532,1500,1485,1490,1499,1500,1550,1550,1525,1500,1495,1495,1495,1495,1495,1510,1595,1605,1630,1595,1595,1594,1595,1595,1595,1595,1600,1600,1595,1595,1600
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1119,1224,1120,1072,1105,1210,1212,1235,1200,1229,1245,1184,1199,1190,1200,1200,1225,1231,1225,1225,1225,1240,1245,1359,1355,1374,1295,1325,1300,1295,1282,1239,1195,1229.5,1169,1109,1150,1186,1213,1240,1250,1250,1220,1211,1230,1240,1250,1270,1282,1281,1308,1315,1315,1300,1300,1293,1294,1277,1272,1281
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,652.5,595,595,595,595,600,639.5,647,650,639,670,675,686,715,735,695,685,680,679,730,725,708,715,695,711,714,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,797,786,788,780,775,780,789,785,790,779,770,775,775,784,795,795,800,850,850,825,820,849,825,800,820,804,820,835,790,802,775,810,835,840,850,909,900,886,885,899,900,893,899.5,898,955,937,928,947,961,950,965,950,945,962
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,1210,1250,1291,1293,1290,1250,1260,1197.5,1172.5,1100,1037.5,1050,995,995,980,975,1100,1165,1248.5,1200,1238,1200,1187,1109,1150,1118,1085,1050,1200,1150,1150,1225,1105,1150,1100,1215,1200,1250,1250,1050,1079.5,1050,1100,1297.5,1295,1250,1250,1185,1195,1150,1120,1100,1120,1200,1290,1250,1250,1195,1215,1185,1175,1250,1200,1225,1200,1275,1300,1350,1299,1295,1300,1280.5,1325,1295,1350,1295,1350,1370,1395,1425,1395,1395,1400,1395,1350,1361.5,1360,1357,1361.5,1475,1490,1495,1475,1495,1490,1500,1525,1550
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,580,585,571,550,619.5,629,648,650,595,597,599,625,647,625,620,595,595,640,665,650,650,665,675,690,700,701,695,680,670,669,670,666,664.5,657,661,655,660,650,644,650,700,699,690,700,676,695,680,700,699,700,685,700,700,723,749,742,744,750,750,755,775,780,825,892,875,868,899,857,850,950,850,870,879,860,828.5,817.5,905,975,1145,1175,1097,1085,997,970.5,968.5,950,948,940,942,960,974,991,980,994,1000,1020.5,1019.5,1051,1048.5
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,630,625,624.5,650,650,650,750,850,795,700,700,700,650,625,649.5,615,635,646,602.5,600,630,625,625,645,650,650,625,625,628,650,650,685,700,700,675,652.5,650,671,700,689,675,675,695,700,700,725,725,750,750,759.5,782,775,799,795,780,785,800,812,815,795,784,820,879,860,847,876,856,850,880,825,874,850,844,845,857,850,915,917,938,905,905,920,935,895,885,874.5,850,850,900,935,950,957,985,1010,1025,1009,1028.5,1006.5
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,1350,1297.5,1300,1250,1250,1350,1400,1462.5,1450,1300,1300,1350,1320,1363,1295,1295,1335,1300,1305,1350,1330,1342,1350,1345,1350,1355,1350,1345,1335,1300,1350,1375,1325,1250,1399,1450,1395,1380,1450,1623,1600,1595,1650,1610,1650,1682,1649.5,1690,1710,1650,1695,1695,1705,1735,1782,1795,1773,1750,1755,1750,1750,1760,1750,1700,1695,1850,1725,1822,1695,1713,1670,1750,1791,1801,1840,1875,1854,1892,1850,1870,1860,1820,1799.5,1827,1875,1870,2004,2038,2065,2035,2020,2000,2015,2060
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,1012,995,968,995,968.5,880,889.5,833,790,899,870,865,945,875,990,1016,976,970,1049,1025,1050,1085,1150,1060,1083,1083,1027,1097,1100,1050.5,1095,1112,1150,1159,1179.5,1144,1136,1164,1150,1177.5,1147,1115,1120,1150,1199,1199,1160,1125,1118,1151,1149,1164.5,1196.5,1200,1230,1200,1195,1195,1206,1255,1275.5,1251,1249,1269,1270,1240,1312.5,1275,1250,1207.5,1300,1295,1309.5,1306,1310,1319,1325,1350,1330,1310,1349,1325,1325,1374,1345,1334,1350,1363,1369,1370,1360,1380,1371
