"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4795,4900,4800,4500,4500,4500,4500,4600,4800,4881,5000,5000,4597,4800,4550,4400,4490,4700,4700,5050,4995,5000,5497,5300,5177,5275,5200,4750,4500,4500,4500,4250,4600,4800,5100,4999,4999,4500,4500,4499,4471
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,3799.5,3850,4200,4100,4400,4500,4495,4495,4350,4272.5,4100,4400,4300,4495,4250,4300,4500,4500,4500,4500,4882.5,4495,4472.5
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2700,2600,2900,3050,3000,2897.5,3000,3200,3200,3200,2900,2750,2650,2900,2990,3050,3100,2750,3175,2800,2850,3000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.5,1995,1875,2050,2050,2000,1995,1997.5,1950,1995,1995,1895,1922.5,1995,2000,2000,2145,2025,1975,1925,1937.5,1995,1800,1850,1800,1825
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2600,2560,2560,2500,2500,2500,2500,2500,2500,2500,2625,2550,2550,2500,2500,2500,2500,2500,2300,2500,2500,2600,2850,2750,2600,2600,2600,2600,2575,2500,2500,2500,2500,2750,2750,2750,2750,2725,2750,2750,2650,2550,2550,2500,2500,2925,2950
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,1795,1800,1900,1797.5,1800,1895,1900,1895,1972.5,1972.5,1980,1900,1785,1850,1699.5,1650,1650,1695,1685,1700,1672.5,1650,1650,1650,1699,1700,1700,1700,1695,1700,1749,1800,1797.5,1700,1700,1700,1750,1750,1775,1800,1795,1800,1800,1822.5,1795,1795,1800,1795,1800,1850,1842.5,1875,1945,1895,1900,1900,1800,1815,1935,1900,1989,1995,1995,2000,2100,1900,1957.5,1995,1995,1995,1895,1900,1985,2000,2100,2200,2100,2050,2100,2000,2000,2020,2095,2100,2100,2200,2300,2262.5,2250,2200,2290,2297.5,2300,2250
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4995,5200,4937.5,4500,4950,5050,5050,5200,4750,4800,4995,4895,5500,5050,4947.5,4900,4950,4800,4650,5000,5000,4550,4700
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925,4372.5,4200,4395,4400,4700,4300,4275,4225,4200,4125,4197.5,4137.5,4000,4275,4447.5,4925,4970,4850,4575,4500,4500,4295
"Jacksonville","FL","Jacksonville","Duval County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1700,1625,1752.5,1912.5,1995,1925,1995,1900,1995,1947.5,1995,1995,1669,1669,1695,1650,1857.5,1750,1687.5,1793,1722.5,1650
"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9995,8295,7447.5,7247.5,6800,6947.5,6500,6995,8000,7925,7025,6600,6500,7400,6500
